READING DURNG FIRE RAMPUP
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 659
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 664
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 667
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 657
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 662
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 668
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 660
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 658
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 655
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 655
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 665
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 655
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 658
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 654
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 666
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 657
Temp: 4.2C  Hum: 61.1%
GAS ADC Value: 657
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 654
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 665
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 652
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 652
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 660
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 659
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 654
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 662
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 655
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 659
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 654
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 654
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 665
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 654
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 660
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 650
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 656
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 667
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 654
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 656
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 651
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 663
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 656
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 652
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 657
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 649
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 653
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 646
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 648
Temp: 4.4C  Hum: 61.1%
GAS ADC Value: 648
Temp: 4.4C  Hum: 61.2%
GAS ADC Value: 646
Temp: 4.4C  Hum: 61.1%
GAS ADC Value: 645
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 648
Temp: 4.4C  Hum: 61.1%
GAS ADC Value: 648
Temp: 4.4C  Hum: 61.1%
GAS ADC Value: 644
Temp: 4.4C  Hum: 61.1%
GAS ADC Value: 641
Temp: 4.5C  Hum: 61.2%
GAS ADC Value: 642
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 660
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 644
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 645
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 640
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 647
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 637
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 637
Temp: 4.5C  Hum: 61.1%
GAS ADC Value: 641
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 641
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 640
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 641
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 638
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 639
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 642
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 635
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 638
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 638
Temp: 4.6C  Hum: 61.0%
GAS ADC Value: 645
Temp: 4.5C  Hum: 61.0%
GAS ADC Value: 664
Temp: 4.6C  Hum: 61.0%
GAS ADC Value: 680
Temp: 4.6C  Hum: 61.1%
GAS ADC Value: 697
Temp: 4.6C  Hum: 61.1%
GAS ADC Value: 727
Temp: 4.6C  Hum: 61.1%
GAS ADC Value: 773
Temp: 4.6C  Hum: 61.2%
GAS ADC Value: 805
Temp: 4.6C  Hum: 61.4%
GAS ADC Value: 812
Temp: 4.6C  Hum: 61.5%
GAS ADC Value: 813
Temp: 4.6C  Hum: 61.6%
GAS ADC Value: 812
Temp: 4.6C  Hum: 61.6%
GAS ADC Value: 817
Temp: 4.6C  Hum: 61.6%
GAS ADC Value: 819
Temp: 4.7C  Hum: 61.6%
GAS ADC Value: 813
Temp: 4.6C  Hum: 61.7%
GAS ADC Value: 819
Temp: 4.6C  Hum: 61.6%
GAS ADC Value: 826
Temp: 4.6C  Hum: 61.7%
GAS ADC Value: 831
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 824
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 826
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 826
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 827
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 823
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 821
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 813
Temp: 4.7C  Hum: 61.7%
GAS ADC Value: 809
Temp: 4.7C  Hum: 61.6%
GAS ADC Value: 810
Temp: 4.7C  Hum: 61.6%
GAS ADC Value: 810
Temp: 4.8C  Hum: 61.6%
GAS ADC Value: 810
Temp: 4.8C  Hum: 61.6%
GAS ADC Value: 810
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 803
Temp: 4.8C  Hum: 61.6%
GAS ADC Value: 812
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 809
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 808
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 807
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 805
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 805
Temp: 4.8C  Hum: 61.5%
GAS ADC Value: 809
Temp: 4.8C  Hum: 61.4%
GAS ADC Value: 796
Temp: 4.8C  Hum: 61.4%
GAS ADC Value: 799
Temp: 4.8C  Hum: 61.4%
GAS ADC Value: 797
Temp: 4.8C  Hum: 61.4%
GAS ADC Value: 798
Temp: 4.8C  Hum: 61.4%
GAS ADC Value: 791
Temp: 4.8C  Hum: 61.3%
GAS ADC Value: 790
Temp: 4.9C  Hum: 61.3%
GAS ADC Value: 792
Temp: 4.9C  Hum: 61.3%
GAS ADC Value: 788
Temp: 4.9C  Hum: 61.3%
GAS ADC Value: 790
Temp: 4.9C  Hum: 61.2%
GAS ADC Value: 782
Temp: 4.9C  Hum: 61.2%
GAS ADC Value: 784
Temp: 4.9C  Hum: 61.2%
GAS ADC Value: 783
Temp: 4.9C  Hum: 61.1%
GAS ADC Value: 780
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 779
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 779
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 776
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 780
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 770
Temp: 4.9C  Hum: 61.0%
GAS ADC Value: 777
Temp: 4.9C  Hum: 60.9%
GAS ADC Value: 770
Temp: 4.9C  Hum: 60.9%
GAS ADC Value: 770
Temp: 4.9C  Hum: 60.8%
GAS ADC Value: 768
Temp: 4.9C  Hum: 60.8%
GAS ADC Value: 774
Temp: 4.9C  Hum: 60.8%
GAS ADC Value: 772
Temp: 5.0C  Hum: 60.8%
GAS ADC Value: 770
Temp: 5.0C  Hum: 60.7%
GAS ADC Value: 763
Temp: 5.0C  Hum: 60.7%
